Geometry,Lon,Lat,R_EOS10_SOS15,EOS10_SOS15_Tem_C,P_EOS10_SOS15,EOS10_SOS15_Tem_P,R_EOS10_SOS50,EOS10_SOS50_Tem_C,P_EOS10_SOS50,EOS10_SOS50_Tem_P,R_EOS50_SOS15,EOS50_SOS15_Tem_C,P_EOS50_SOS15,EOS50_SOS15_Tem_P,R_EOS50_SOS50,EOS50_SOS50_Tem_C,P_EOS50_SOS50,EOS50_SOS50_Tem_P,R_SOS15_EOS10,SOS15_EOS10_Tem_C,P_SOS15_EOS10,SOS15_EOS10_Tem_P,R_SOS15_EOS50,SOS15_EOS50_Tem_C,P_SOS15_EOS50,SOS15_EOS50_Tem_P,R_SOS50_EOS10,SOS50_EOS10_Tem_C,P_SOS50_EOS10,SOS50_EOS10_Tem_P,R_SOS50_EOS50,SOS50_EOS50_Tem_C,P_SOS50_EOS50,SOS50_EOS50_Tem_P,Clim_cover_type2
POINT(76.125 53.875),76.125,53.875,0.836622799,3.128161955,0.010371196,0.086798796,0.920678617,3.307836384,0.018917495,0.0872036,0.20608745,-6.57680068,0.456478706,0.064921217,0.463305018,-6.910276613,0.126288243,0.037926295,0.297366513,-2.579053084,0.133462721,0.032739757,0.175627671,-2.242048332,0.382476502,0.063336861,0.216513486,-3.380415344,0.179225126,0.035640867,0.234333359,-3.165119387,0.152705951,0.045766277,Temperate grassland
POINT(72.125 53.875),72.125,53.875,-0.15043096,-1.676921383,0.362983606,0.213825484,-0.056181845,-1.806739492,0.802296163,0.197756472,-0.379610467,1.523796948,0.370998644,0.808461423,-0.297575522,-0.190582489,0.453309286,0.972468655,-0.169847832,1.925892077,0.599182292,0.422543707,-0.015105866,1.707140527,0.957663257,0.486763373,-0.347403607,4.024775714,0.131698707,0.104747142,0.03782689,1.680439407,0.854491948,0.437559457,Temperate grassland
POINT(75.375 53.875),75.375,53.875,0.352185635,0.061902989,0.197425437,0.962638482,0.393326331,0.27372581,0.061076061,0.822178108,-0.083763751,-2.077059787,0.781597779,0.571770747,-0.04012674,0.932644477,0.8686547,0.794872279,-0.013859097,-3.331003775,0.940289058,0.010674591,0.027916846,-3.30304144,0.856162202,0.010047093,0.059627669,-7.433455866,0.73824699,0.000254381,0.054865571,-7.564472675,0.711035149,0.000175767,Temperate grassland
POINT(52.125 53.875),52.125,53.875,0.297669977,0.537270948,0.083851036,0.5111407,0.102797407,-1.326865943,0.60361321,0.226991736,0.119532397,-4.938708949,0.849343577,0.106148948,1.360488449,-4.857279343,0.022368157,0.055593732,0.122632894,-1.165183282,0.718300507,0.336526392,-0.023662501,-2.710770751,0.773906534,0.024735754,0.040126573,-2.808034335,0.85794828,0.010683158,0.029639423,-2.932144871,0.66711998,0.009952962,Temperate grassland
POINT(-120.125 53.875),-120.125,53.875,0.410518503,-1.409673386,0.004766654,0.612754478,0.770766829,2.312084179,1.79E-05,0.103726649,0.587138988,-0.518406693,0.004166495,0.672703465,1.085196778,-2.057012116,0.000515797,0.085409972,0.634197561,-8.116526937,0.233511645,0.025006198,0.293972014,-7.8488456,0.445067569,0.035924776,0.28337819,-6.838732966,0.337854789,0.00584906,0.206874549,-7.255066756,0.33004321,0.004631269,Temperate grassland
POINT(-119.875 53.875),-119.875,53.875,0.439774538,-1.401921676,0.001070882,0.586750822,0.751998991,2.266486941,2.08E-05,0.109922155,0.600968027,-8.356624449,0.001319452,0.080328032,0.935882883,-8.199567201,0.000658821,0.069576392,0.651180354,-8.705082557,0.212479299,0.018871309,0.310646386,-8.449246626,0.411840248,0.027717898,0.267761568,-7.493479599,0.343983924,0.003524141,0.202205514,-7.926593579,0.317611416,0.002685554,Temperate grassland
POINT(91.375 53.875),91.375,53.875,0.425074633,5.381157281,0.178388818,0.144309864,0.471656216,3.069276314,0.091353142,0.397857024,0.482574732,5.564022626,0.277642578,0.311825771,0.492076923,4.871933944,0.168967402,0.336979386,-0.078791501,-2.430514266,0.427147292,0.002441602,-0.10774307,-2.393503036,0.260226126,0.00216185,-0.278072542,-2.098818661,0.064343629,0.133433632,-0.155752695,-1.235755314,0.285290755,0.376575982,Temperate grassland
POINT(90.625 53.875),90.625,53.875,-0.053939607,2.268686351,0.759567409,0.032271126,-0.086035498,2.288001943,0.691704659,0.031097297,0.226516323,1.179039217,0.302115431,0.193382215,0.137223171,3.02644527,0.591889943,0.084689954,0.607297822,-0.866136586,0.074078384,0.275603924,0.301652977,-1.219049046,0.3316516,0.108505255,0.261013861,-1.341514283,0.316693933,0.049169194,0.064612378,-1.554645281,0.787930894,0.027494013,Temperate grassland
POINT(91.125 53.875),91.125,53.875,-0.3766899,6.2038439,0.380578816,0.039933083,0.170486761,6.398651393,0.653663128,0.038624076,0.368729847,8.087858947,0.585128506,0.399964186,-0.384368063,1.283778101,0.473295236,0.856283562,-0.173670655,-2.832778686,0.048570605,0.003407834,-0.129747012,-2.021230369,0.325970707,0.022284493,-0.254043326,-1.814597415,0.153727948,0.266462045,-0.292212547,-2.293316962,0.096918835,0.12827805,Temperate grassland
POINT(30.875 53.875),30.875,53.875,0.075279337,-6.671865369,0.807261001,0.001200124,-0.727988059,-8.266229704,0.0110106,3.24E-05,0.17866913,-12.35317295,0.866818534,0.121065143,0.136490389,-14.76842594,0.894992729,0.057965328,-0.140299312,-1.607912339,0.258594252,0.017512292,-0.019229093,-1.356263481,0.708870095,0.033756355,-0.07517464,-2.25717725,0.532884644,0.028629861,-0.015292858,-3.374574939,0.740107799,0.003749357,Temperate grassland
POINT(31.125 53.875),31.125,53.875,0.045387715,-6.805306988,0.881441689,0.000888486,-0.727246425,-8.343501788,0.009139068,1.99E-05,0.01778897,-15.27988847,0.985883994,0.037533819,0.132318681,-15.03410123,0.89671958,0.04680773,-0.135566552,-1.582349133,0.273268433,0.018299778,-0.018673222,-1.347141159,0.716841054,0.033931211,0.010313819,-3.37197622,0.922504642,0.004046101,-0.015193185,-3.316918774,0.744675111,0.004568297,Temperate mixed forest
POINT(111.375 53.875),111.375,53.875,0.07835662,0.744596848,0.487214885,0.034972511,0.164405945,0.697366746,0.175513965,0.037921845,-0.040081043,1.343166613,0.510118638,6.58E-05,-0.050656667,1.360361977,0.43155869,3.95E-05,1.37002364,-2.152125698,0.001958939,0.000718643,1.336236623,-2.762192234,0.034128863,0.001624626,0.465191158,-2.80477434,0.205751678,0.000317575,0.126394164,-2.695255495,0.763392464,0.000690207,Boreal savanna
